Product Name,Sale Price (₹),Original Price (₹),Discount,Product URL
1 KG Hazelnut Instant Coffee Powder Commercial Pack,1599.00,1999.00,Yes,https://www.bevzilla.co/products/1-kg-hazelnut-coffee-powder-commercial-pack
1 KG Butterscotch Instant Coffee Powder Commercial Pack,1599.00,1999.00,Yes,https://www.bevzilla.co/products/1-kg-butterscotch-coffee-powder-commercial-pack
1 KG Classic Instant Coffee Powder Commercial Pack,1599.00,1999.00,Yes,https://www.bevzilla.co/products/1-kg-classic-coffee-powder-commercial-pack
Cafe Coffee Kit,279.00,799.00,Yes,https://www.bevzilla.co/products/bevzilla-cafe-coffee-kit
Premium Classic Strong Coffee 200 GM Jar | Makes 100 Cups,379.00,799.00,Yes,https://www.bevzilla.co/products/premium-classic-strong-coffee-200-gm-jar-makes-100-cups
5 Flavoured Iced Tea Sachets + Shaker,216.00,599.00,Yes,https://www.bevzilla.co/products/iced-tea-shaker-5-sachets
Bevzilla Coffee Shaker,199.00,,No Discount,https://www.bevzilla.co/products/bevzilla-coffee-shaker
Free gift,0.00,,No Discount,https://www.bevzilla.co/products/free-gift
25 Flavoured Coffee Sachets + Shaker,165.00,499.00,Yes,https://www.bevzilla.co/products/coffee-shaker-pack
Black Currant Instant Iced tea mix,299.00,599.00,Yes,https://www.bevzilla.co/products/black-currant-instant-iced-tea-1
Lemon Instant Iced tea mix,299.00,599.00,Yes,https://www.bevzilla.co/products/lemon-instant-iced-tea-1
Blueberry Instant Iced tea mix,299.00,599.00,Yes,https://www.bevzilla.co/products/blueberry-instant-iced-tea-1
Watermelon Instant Iced tea mix,299.00,599.00,Yes,https://www.bevzilla.co/products/watermelon-instant-iced-tea-1
Peach Passion Instant Iced tea mix,299.00,599.00,Yes,https://www.bevzilla.co/products/peach-passion-instant-iced-tea-1
60 Sachets Assorted Coffee Powder Box,259.00,449.00,Yes,https://www.bevzilla.co/products/assorted-coffee-powder-box-60-sachets
Dark Wish Dark Roast Coffee Powder - (Pack of 12),106.00,99.00,Yes,https://www.bevzilla.co/products/dark-wish-dark-roast-coffee-powder-pack-of-12
Battery Operated Electric Frother,199.00,299.00,Yes,https://www.bevzilla.co/products/frother
48 Dark Roast Coffee Sachets Box - 5X Stronger,239.00,499.00,Yes,https://www.bevzilla.co/products/dark-roast-dark-wish-coffee-powder-box-48-sachets
48 Classic Instant Coffee Sachets Box,219.00,299.00,Yes,https://www.bevzilla.co/products/colombian-gold-coffee-powder-box-48-sachets
48 French Vanilla Coffee Sachets Box,219.00,299.00,Yes,https://www.bevzilla.co/products/french-vanilla-coffee-powder-box-48-sachets
48 Sachets Assorted Coffee Powder Box,219.00,299.00,Yes,https://www.bevzilla.co/products/instant-coffee-powder-box-48-sachets
48 Hazelnut Coffee Sachets Box,219.00,299.00,Yes,https://www.bevzilla.co/products/hazelnut-coffee-powder-box-48-sachets
48 Butterscotch Coffee Sachets Box,219.00,299.00,Yes,https://www.bevzilla.co/products/butterscotch-coffee-powder-box-48-sachets
Assorted Coffee Cubes Pack of 5 (Best Seller),99.00,199.00,Yes,https://www.bevzilla.co/products/assorted-coffee-cubes-pack-of-5-best-seller
96 Hazelnut Coffee Sachets Box (Free Coffee Sachet Inside),377.00,599.00,Yes,https://www.bevzilla.co/products/turkish-hazelnut-coffee-powder-box-96-sachets-free-gift
96 French Vanilla Coffee Sachets Box (Free Coffee Sachet Inside),377.00,599.00,Yes,https://www.bevzilla.co/products/french-vanilla-coffee-powder-box-96-sachets-free-gift
96 Butterscotch Coffee Sachets Box (Free Coffee Sachet Inside),377.00,599.00,Yes,https://www.bevzilla.co/products/copy-of-colombian-gold-coffee-powder-box-96-sachets-free-gift
96 Classic Instant Coffee Sachets Box,377.00,599.00,Yes,https://www.bevzilla.co/products/colombian-gold-coffee-powder-box-96-sachets-free-gift
96 Sachets Assorted Coffee Powder Box,379.00,599.00,Yes,https://www.bevzilla.co/products/assorted-coffee-powder-box-96-sachets
4 Flavours Mocktail Combo with Free Drinks Measurer + Cards,1999.00,,No Discount,https://www.bevzilla.co/products/party-box
"Assorted pack of 4, milkshake cubes",106.00,175.00,Yes,https://www.bevzilla.co/products/assorted-pack-of-4-milkshake-cubes
"Assorted pack of 5, Iced Tea",133.00,249.00,Yes,https://www.bevzilla.co/products/assorted-pack-of-5-iced-tea
Mocktail Mixers Combo (All 4 Flavours),461.00,,No Discount,https://www.bevzilla.co/products/mocktail-mixers-combo-all-4-flavours
Hurricane Mocktail Mixers | 5 Pouches,179.00,349.00,Yes,https://www.bevzilla.co/products/hurricane-mocktail-mixers
Mojito Mocktail Mixers | 5 Pouches,209.00,349.00,Yes,https://www.bevzilla.co/products/mojito-mocktail-mixers
Cosmopolitan Mocktail Mixers | 5 Pouches,199.00,349.00,Yes,https://www.bevzilla.co/products/cosmopolitan-mocktail-mixers
Watermelon Martini Mocktail Mixers | 5 Pouches,209.00,349.00,Yes,https://www.bevzilla.co/products/watermelon-martini-mocktail
25GM X 4 Coffee Jars (All 4 Flavours),251.00,398.00,Yes,https://www.bevzilla.co/products/best-selling-coffee-powder-mini-combo
Try Everything Combo (FREE ICED TEA),309.00,600.00,Yes,https://www.bevzilla.co/products/coffee-cubes-milkshake-cubes-coffee-powder-trial-pack
Coffee Cubes + Milkshake Cubes Trial Pack,256.00,400.00,Yes,https://www.bevzilla.co/products/coffee-milkshake-trial-pack
Coffee 10 Cubes Assorted Pack+ Vanilla Creme Milkshake Cubes,461.00,698.00,Yes,https://www.bevzilla.co/products/instant-coffee-10-cubes-assorted-pack-instant-vanilla-creme-milkshake-cubes
Coffee 10 Cubes Assorted Pack+ Strawberry Milkshake Cubes,461.00,698.00,Yes,https://www.bevzilla.co/products/instant-coffee-10-cubes-assorted-pack-instant-strawberry-milkshake-cubes
Coffee 10 Cubes Assorted Pack + Butterscotch Milkshake Cubes,461.00,698.00,Yes,https://www.bevzilla.co/products/instant-coffee-10-cubes-assorted-pack-instant-butterscotch-milkshake-cubes
Coffee 10 Cubes Assorted Pack + Choco-Hazelnut Milkshake Cubes,461.00,698.00,Yes,https://www.bevzilla.co/products/copy-of-assorted-instant-coffee-20-cubes-pack-hot-chocolate
Milkshake Cubes Combo (All 4 Flavours),1500.00,,No Discount,https://www.bevzilla.co/products/instant-milkshake-cubes-combo-all-4-flavours
Irish Cream+Belgian Chocolate Coffee 10 Cubes Combo Pack,461.00,698.00,Yes,https://www.bevzilla.co/products/irish-cream-belgian-chocolate-instant-coffee-10-cubes-combo-pack
